Vendor_ID,Invoice_Amount,Tax_Amount,Total_Amount,Processing_Days,Approval_Level,Approved_By,Vendor_Reliability_Score,Invoice_Frequency,Avg_Invoice_Amount,Deviation_From_Avg,Fraud_Flag,Credit_Period_Days,Is_Late_Payment,Payment_Status_Paid,Payment_Status_Pending,Payment_Status_Rejected,Transaction_Type_Credit,Transaction_Type_Credit Note,Transaction_Type_Debit Note,Transaction_Type_Invoice,Risk_Level,Binary_Risk_Flag
236,44064.0,5903.67,48777.66,28.0,1,0,6.0,39,5995,9.7,0,52,1,True,False,False,False,False,False,True,0,0
525,47550.0,2605.71,55276.48,12.0,5,0,4.0,47,37385,90.06,1,-236,1,False,True,False,False,False,False,True,1,0
468,79623.0,10956.54,92393.71,5.0,1,4,1.0,49,20977,-36.28,1,51,0,True,False,False,False,False,False,True,2,1
278,19194.0,3155.5,22207.41,9.0,1,1,10.0,9,35983,-31.81,0,127,0,False,False,False,False,True,False,False,0,0
121,14860.0,1541.52,16262.43,18.0,1,0,6.0,27,24920,48.93,1,-3,0,False,False,False,False,False,True,False,1,0
326,69840.0,5195.78,81563.88,22.0,3,0,8.0,10,18141,-12.43,1,-48,0,False,False,False,False,True,False,False,1,0
236,36542.0,5437.18,41231.2,15.0,5,0,10.0,11,48868,57.82,1,-78,1,False,False,False,False,True,False,False,1,0
219,22039.0,3788.86,25801.47,28.0,1,0,2.0,36,4390,0.75,0,6,0,False,False,False,True,False,False,False,0,0
546,32038.0,1627.6,34263.25,25.0,4,0,3.0,26,36774,74.31,1,-210,1,False,False,True,True,False,False,False,1,0
873,80592.0,8667.8,87137.78,15.0,5,0,2.0,7,42920,61.02,1,-27,1,False,False,True,False,False,False,True,2,1
481,51465.0,3911.68,54729.49,6.0,5,2,8.0,2,3068,70.98,0,14,1,False,False,False,False,False,False,True,0,0
277,74542.0,5118.334999999999,82386.08,10.0,1,3,7.0,39,37141,34.6,1,281,0,False,False,True,True,False,False,False,1,0
45,20235.0,1905.2,23795.3,4.0,3,1,10.0,50,46791,-6.64,0,137,1,False,False,True,False,False,True,False,0,0
405,75889.0,10521.41,82981.09,13.0,4,1,3.0,21,36255,69.44,1,-30,0,False,True,False,False,False,False,True,1,0
523,96331.0,13384.91,111301.38,17.0,3,0,5.0,46,47994,1.34,1,-151,1,False,False,True,False,False,False,False,2,1
356,43198.0,5815.85,49232.85,27.0,5,1,2.0,1,29920,-11.25,1,-296,1,False,False,False,False,False,True,False,1,0
438,47539.0,5510.3,53780.54,3.0,5,0,4.0,30,34663,90.18,1,-44,1,False,False,True,False,False,False,False,1,0
5,82523.0,9081.75,96289.06,24.0,4,0,7.0,44,7453,23.04,1,21,0,False,False,False,False,True,False,False,2,1
214,5681.0,814.94,6018.43,19.0,3,2,10.0,49,28257,-23.65,1,-166,1,True,False,False,False,False,False,True,1,0
184,69394.0,8445.16,77163.46,15.0,5,0,10.0,48,4916,58.04,0,182,0,False,False,True,False,False,False,False,0,0
584,69716.0,4475.58,81893.81,10.0,5,4,3.0,41,4540,-34.47,1,47,1,False,True,False,False,False,True,False,1,0
467,7113.0,412.91,7977.69,7.0,1,0,4.0,42,30383,35.48,0,-75,1,False,False,False,False,False,False,True,0,0
2,94370.0,4821.06,104947.07,7.0,4,0,3.0,18,45052,-4.77,1,195,0,True,False,False,False,True,False,False,2,1
660,99587.0,16281.53,109197.92,7.0,3,0,4.0,30,9306,88.47,1,-208,1,False,True,False,False,False,False,True,2,1
226,63140.0,5187.68,69784.38,9.0,1,0,6.0,26,46291,-30.79,0,89,0,False,False,True,True,False,False,False,0,0
887,51308.0,5118.334999999999,57223.09,7.0,5,1,4.0,31,41628,1.75,1,-47,1,True,False,False,False,False,False,True,1,0
245,80299.0,4243.6,88440.91,3.0,1,4,5.0,5,11149,10.29,0,42,1,False,False,False,False,False,False,False,0,0
421,12276.0,1299.63,14183.38,12.0,1,1,10.0,4,7396,64.39,1,343,0,False,False,False,False,False,False,True,1,0
678,4306.0,732.55,4546.63,15.0,1,2,4.0,8,40134,16.67,1,293,0,False,False,False,False,False,False,True,1,0
270,51070.0,5770.83,57477.93,26.0,5,1,10.0,41,22045,91.01,0,-110,1,False,False,True,True,False,False,False,0,0
737,86376.0,8644.85,95490.13,13.0,1,3,6.0,29,37674,-34.21,0,-24,0,False,False,True,True,False,False,False,0,0
40,88094.0,13719.87,94767.96,2.0,5,1,5.0,8,8232,17.92,1,-137,1,True,False,False,False,False,False,False,2,1
558,50672.0,4755.14,59093.13,24.0,5,3,8.0,14,26518,59.68,0,85,0,False,False,False,False,False,False,False,0,0
624,46971.0,3753.2,51683.3,8.0,3,0,3.0,26,12743,36.19,1,302,0,False,False,True,True,False,False,False,1,0
410,3634.0,543.45,3958.02,12.0,3,0,-1.0,46,13491,1.9,0,224,0,False,False,True,True,False,False,False,0,0
806,65278.0,9018.41,76791.04,7.0,2,1,3.0,40,40944,-35.55,1,-289,1,False,False,True,False,False,True,False,1,0
224,23917.0,2671.83,28066.21,8.0,5,0,8.0,14,38881,55.49,0,156,0,False,False,True,False,False,False,False,0,0
1,31341.0,4629.29,35929.4,14.0,5,0,7.0,8,48828,51.41,1,-31,1,False,False,True,False,False,False,True,1,0
99,710.0,63.2,829.6,1.0,1,0,5.0,32,43862,56.76,1,-202,1,False,False,True,False,False,False,True,1,0
177,48126.0,8612.29,53109.49,11.0,5,3,4.0,20,38932,-37.26,0,8,1,True,False,False,True,False,False,False,0,0
501,11182.0,1180.05,12889.29,3.0,5,4,5.0,30,43341,99.48,1,-74,1,False,False,False,False,False,False,True,1,0
817,80684.0,11332.67,88710.74,28.0,4,2,4.0,13,49957,59.81,0,142,0,False,True,False,False,False,False,True,0,0
766,90267.0,15950.3,98824.9,21.0,5,4,2.0,48,43774,98.32,1,169,0,False,False,True,False,False,False,False,2,1
801,50065.0,2816.69,55381.26,25.0,5,4,1.0,23,44818,70.81,1,223,0,True,False,False,False,False,False,True,1,0
669,78372.0,5118.334999999999,87381.84,1.0,2,2,3.0,38,7995,63.41,0,-70,1,False,False,False,True,False,False,False,0,0
149,99455.0,9980.46,110122.11,15.0,3,0,4.0,44,41760,-36.14,1,-18,1,False,True,False,True,False,False,False,2,1
316,13120.0,1496.98,14066.87,28.0,4,0,3.0,24,37453,49.76,1,125,1,False,False,False,False,False,False,True,1,0
225,28421.0,4136.2,30122.47,11.0,1,0,4.0,10,39490,56.67,1,-211,1,False,False,False,False,False,False,True,1,0
603,33289.0,5918.41,35564.26,5.0,4,0,10.0,49,23183,62.28,0,-288,1,False,True,False,True,False,False,False,0,0
380,90809.0,10400.87,104274.67,0.0,5,2,2.0,42,8526,-6.47,1,88,1,False,False,True,False,False,False,True,2,1
33,38809.0,4861.27,42878.39,0.0,4,1,3.0,44,4987,-48.93,1,9,1,False,False,True,False,False,False,True,1,0
596,29292.0,3477.59,31586.04,24.0,4,1,1.0,19,39004,-25.11,0,-131,0,True,False,False,False,True,False,False,0,0
